player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range,adjusted_efficiency,sos,consistency,rank,composite_index
wbcsiwer,Michał Pietrusiak,Poland B,37.0,72.0,0.5139,0.0982171319068114,0.4444,0.5833,0.1389,0.45010605660575514,0.53125,0.8611,32.0,-29.6911537750902
wbcdeafbat,Jan Kopecký,Czechia E,57.0,108.0,0.5278,0.2819322672794537,0.2222,0.7778,0.5556000000000001,0.5061087672315773,0.5392666666666667,0.4443999999999999,29.5,-30.233006799762666
wbclasek,Zoltán Menyhárt,Hungary B,37.0,60.0,0.6167,0.5108779665112468,0.0,1.0,1.0,0.517117493511781,0.29132,0.0,20.0,-30.404352975801128
wbcvotocek,Jakub Šalajka,Czechia F,34.5,72.0,0.4792,0.049143921292465,0.4444,0.5139,0.0695,0.4197136063932241,0.5049333333333333,0.9305,37.0,-30.980736701404282
wbcnirvana,Róbert Pátkai,Hungary B,67.0,132.0,0.5076,0.3674772192485769,0.1944,1.0,0.8056,0.5076,0.43912727272727275,0.19440000000000002,33.0,-31.450592096990402
wbcmark,Márk Horváth,Hungary A,33.0,60.0,0.55,0.1924308447209022,0.4167,0.75,0.3333,0.4611879705391269,0.60138,0.6667000000000001,27.0,-32.454277967390055
wbcgenghis,Milán Nagy,Slovakia,50.0,108.0,0.463,0.2501287735014373,0.2083,0.7083,0.5,0.44397188182686675,0.44837777777777776,0.5,41.0,-33.28889578740374
wbcset,Konstantin Solomatin,Team International B,37.5,72.0,0.5208,0.4026973118857389,0.2361,0.8056,0.5695,0.4561495121235207,0.48113333333333336,0.4305,31.0,-33.70130561387745
wbcasz,Gábor Nagy,Hungary B,59.5,120.0,0.4958,0.3633980737428309,0.2222,1.0,0.7778,0.4861221986277187,0.48041999999999996,0.22219999999999995,34.0,-33.71467272081554
wbclojzeidon,Alois Mikeš,Czechia C,51.5,108.0,0.4769,0.2708506661120354,0.1667,0.6667,0.5,0.4573006273071981,0.6017888888888889,0.5,39.0,-34.90695519199969
wbctasemnice,Tomáš Palacký,Czechia D,46.0,96.0,0.4792,0.3781577624924991,0.1667,0.8889,0.7222000000000001,0.4479468321731205,0.40971250000000003,0.27779999999999994,37.0,-35.05195605681186
wbcheater,Łukasz Majksner,Team International A,19.0,36.0,0.5278,,0.5278,0.5278,0.0,0.38735572847388605,0.6782333333333334,1.0,29.5,-36.053746865791396
wbcmichi,Michal Ferdinandy,Slovakia,46.0,108.0,0.4259,0.3072285848246112,0.1389,0.75,0.6111,0.4083965971275649,0.44837777777777776,0.3889,43.0,-37.78728740786662
wbcangst,Piotr Małowiejski,Poland B,29.0,72.0,0.4028,0.0982171319068114,0.3333,0.4722,0.1389,0.35279766413854474,0.53125,0.8611,46.0,-38.15416895279287
wbcwonderwall,Josef Holba,Czechia D,35.0,72.0,0.4861,0.6088896492797361,0.0556,0.9167,0.8611,0.4257570619109896,0.3934166666666667,0.13890000000000002,35.0,-38.44259264152152
wbcbogimp,Anton Efremov,Team International B,34.5,72.0,0.4792,0.5008437331144316,0.125,0.8333,0.7083,0.4197136063932241,0.48113333333333336,0.29169999999999996,37.0,-38.624691068595
wbcrostas,Ferenc Rostás,Hungary B,40.0,84.0,0.4762,0.3869718626722103,0.125,0.9167,0.7917,0.43211971180915,0.49675714285714284,0.20830000000000004,40.0,-38.8827903613438
wbcperoxid,Štěpán Tesařík,Czechia C,43.0,108.0,0.3981,0.2103265160015097,0.25,0.6389,0.3889,0.38173910616690204,0.6017888888888889,0.6111,49.0,-40.07425068006496
wbcshpek,Radim Kostlivý,Czechia E,45.0,108.0,0.4167,0.3274518183387189,0.0556,0.6944,0.6388,0.3995746936441801,0.5392666666666667,0.36119999999999997,44.0,-40.55008751448762
