tournament_round,match_id,sub_round,sub_round_score_a,sub_round_score_b,player_a_name,player_a_nick,player_a_team,player_b_name,player_b_nick,player_b_team,score_a,score_b,total_games,winner
1,Poland A vs Czechia E?,2,30.0,6.0,Michał Żukowski,wbcbeetle,Poland A,Jan Kopecký,wbcdeafbat,Czechia E?,9.0,3.0,12.0,A
1,Poland A vs Czechia E?,2,30.0,6.0,Bogdan Brachaczek,wbcbb,Poland A,Radim Kostlivý,wbcshpek,Czechia E?,11.0,1.0,12.0,A
1,Poland A vs Czechia E?,2,30.0,6.0,Michał Zajk,wbcpuholek,Poland A,Jan Purkrábek,wbcpurkys,Czechia E?,10.0,2.0,12.0,A
1,Poland A vs Czechia E?,3,33.0,3.0,Michał Żukowski,wbcbeetle,Poland A,Radim Kostlivý,wbcshpek,Czechia E?,12.0,0.0,12.0,A
1,Poland A vs Czechia E?,3,33.0,3.0,Bogdan Brachaczek,wbcbb,Poland A,Jan Purkrábek,wbcpurkys,Czechia E?,12.0,0.0,12.0,A
1,Poland A vs Czechia E?,3,33.0,3.0,Michał Zajk,wbcpuholek,Poland A,Jan Kopecký,wbcdeafbat,Czechia E?,9.0,3.0,12.0,A
1,Slovakia vs Czechia B,1,13.0,23.0,Igor Eged,wbcg3m,Slovakia,Lukáš Souček,wbciwbtc,Czechia B,7.5,4.5,12.0,A
1,Slovakia vs Czechia B,1,13.0,23.0,Michal Ferdinandy,wbcmichi,Slovakia,Jakub Horák,wbc3ifndef,Czechia B,3.0,9.0,12.0,B
1,Slovakia vs Czechia B,1,13.0,23.0,Milán Nagy,wbcgenghis,Slovakia,Martin Muzika,wbcmartez,Czechia B,2.5,9.5,12.0,B
1,Slovakia vs Czechia B,2,8.5,27.5,Igor Eged,wbcg3m,Slovakia,Martin Muzika,wbcmartez,Czechia B,6.5,5.5,12.0,A
1,Slovakia vs Czechia B,2,8.5,27.5,Michal Ferdinandy,wbcmichi,Slovakia,Lukáš Souček,wbciwbtc,Czechia B,0.0,12.0,12.0,B
1,Slovakia vs Czechia B,2,8.5,27.5,Milán Nagy,wbcgenghis,Slovakia,Jakub Horák,wbc3ifndef,Czechia B,2.0,10.0,12.0,B
1,Slovakia vs Czechia B,3,14.0,22.0,Igor Eged,wbcg3m,Slovakia,Jakub Horák,wbc3ifndef,Czechia B,9.0,3.0,12.0,A
1,Slovakia vs Czechia B,3,14.0,22.0,Michal Ferdinandy,wbcmichi,Slovakia,Martin Muzika,wbcmartez,Czechia B,2.0,10.0,12.0,B
1,Slovakia vs Czechia B,3,14.0,22.0,Milán Nagy,wbcgenghis,Slovakia,Lukáš Souček,wbciwbtc,Czechia B,3.0,9.0,12.0,B
1,Slovakia vs Czechia B?Authuser=0,1,13.0,23.0,Igor Eged,wbcg3m,Slovakia,Lukáš Souček,wbciwbtc,Czechia B?Authuser=0,7.5,4.5,12.0,A
1,Slovakia vs Czechia B?Authuser=0,1,13.0,23.0,Michal Ferdinandy,wbcmichi,Slovakia,Jakub Horák,wbc3ifndef,Czechia B?Authuser=0,3.0,9.0,12.0,B
1,Slovakia vs Czechia B?Authuser=0,1,13.0,23.0,Milán Nagy,wbcgenghis,Slovakia,Martin Muzika,wbcmartez,Czechia B?Authuser=0,2.5,9.5,12.0,B
1,Slovakia vs Czechia B?Authuser=0,2,8.5,27.5,Igor Eged,wbcg3m,Slovakia,Martin Muzika,wbcmartez,Czechia B?Authuser=0,6.5,5.5,12.0,A
1,Slovakia vs Czechia B?Authuser=0,2,8.5,27.5,Michal Ferdinandy,wbcmichi,Slovakia,Lukáš Souček,wbciwbtc,Czechia B?Authuser=0,0.0,12.0,12.0,B
1,Slovakia vs Czechia B?Authuser=0,2,8.5,27.5,Milán Nagy,wbcgenghis,Slovakia,Jakub Horák,wbc3ifndef,Czechia B?Authuser=0,2.0,10.0,12.0,B
1,Slovakia vs Czechia B?Authuser=0,3,14.0,22.0,Igor Eged,wbcg3m,Slovakia,Jakub Horák,wbc3ifndef,Czechia B?Authuser=0,9.0,3.0,12.0,A
1,Slovakia vs Czechia B?Authuser=0,3,14.0,22.0,Michal Ferdinandy,wbcmichi,Slovakia,Martin Muzika,wbcmartez,Czechia B?Authuser=0,2.0,10.0,12.0,B
1,Slovakia vs Czechia B?Authuser=0,3,14.0,22.0,Milán Nagy,wbcgenghis,Slovakia,Lukáš Souček,wbciwbtc,Czechia B?Authuser=0,3.0,9.0,12.0,B
1,Team International C vs Russia,1,6.0,30.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Ilya Muratov,wbcfurla,Russia,2.0,10.0,12.0,B
1,Team International C vs Russia,1,6.0,30.0,Jana Adámková,wbcseabow,Team International C,Ilya Katsev,wbcbromozel,Russia,3.0,9.0,12.0,B
1,Team International C vs Russia,1,6.0,30.0,Stanislav Hyžík sr.,wbcgeordie,Team International C,Alexey Lebedev,wbcalleb,Russia,1.0,11.0,12.0,B
