nick_a,nick_b,games,a_wins,b_wins,draws,p_a_wins,ci_lower,ci_upper,uncertainty
wbcpurkys,wbcgenghis,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcpurkys,wbcmichi,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcrichi,wbcdeafbat,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcrichi,wbcpurkys,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcrichi,wbcshpek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcrostas,wbciron,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcrostas,wbcmulan,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcrostas,wbcnguyenminh,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcrostas,wbcplayer,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcrostas,wbczoli,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcseabow,wbcalleb,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcseabow,wbcbromozel,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcseabow,wbcfurla,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcset,wbccoldmind,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcset,wbcgeordie,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcset,wbcrichi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcshpek,wbcg3m,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcshpek,wbcgenghis,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
